Id,Name,Symbol,Description,Rank,Price Usd,Price Btc,24h Volume Usd,Market Cap Usd,Available Supply,Total Supply,Percent Change 1h,Percent Change 24h,Percent Change 7d,Last Updated
decent,DECENT,DCT,,132,0.459509,0.00008003,104650,23575610,51306089,73197775,0.54,4.99,6.89,1509199453
xaurum,Xaurum,XAUR,,133,0.184517,0.00003214,68484.2,23453774,127109013,127109013,-0.23,-0.4,-6,1509199446
decentraland,Decentraland,MANA,,134,0.0102487,0.00000178,312379,23303040,2273755650,2805886393,0.44,3.15,-2.45,1509199463
elastic,Elastic,XEL,,135,0.258489,0.00004502,203282,22482355,86976062,100000000,-1.65,5.53,2.42,1509199459
aeon,Aeon,AEON,,136,1.52672,0.0002659,73474.4,22368189,14651140,14651140,0.67,-4.38,-0.58,1509199447
supernet-unity,SuperNET,UNITY,,137,27.0925,0.00471859,2871.52,22109127,816061,816061,0.78,1.11,-21.33,1509199446
etheroll,Etheroll,DICE,,138,3.15497,0.00054949,38132.3,22089909,7001623,7001623,2.05,-1.62,-0.6,1509199458
triggers,Triggers,TRIG,,139,0.684232,0.00011917,2107560,21967664,32105578,32105578,0.89,-12.21,20.28,1509199455
compcoin,Compcoin,CMP,,140,5.10359,0.00088887,214148,21958053,4302472,6302472,9.35,20.67,-13.34,1509199461
counterparty,Counterparty,XCP,,141,8.3518,0.0014546,107516,21861221,2617546,2617546,0.08,-0.17,6.56,1509199442
emercoin,Emercoin,EMC,,142,0.534132,0.00009303,222771,21842426,40893312,40893312,-1.4,-1.22,3.26,1509199445
salus,SaluS,SLS,,143,21.2686,0.00370426,714020,21366529,1004604,1004604,-0.93,-20.77,50.87,1509199448
xplay,XPlay,XPA,,144,0.0212775,0.00000371,113896,21277500,1000000000,10000000000,1.36,2.97,19.8,1509199464
viberate,Viberate,VIB,,145,0.173704,0.00003025,632073,20844480,120000000,200000000,1.17,10.02,19.25,1509199464
crown,Crown,CRW,,146,1.30118,0.00022662,108323,20530076,15778045,15778045,2.24,-0.42,-4.94,1509199445
ion,ION,ION,,147,1.16257,0.00020248,133051,20018769,17219410,23119410,0.43,5.49,-1.44,1509199450
groestlcoin,Groestlcoin,GRS,,148,0.275753,0.00004803,15807600,18939354,68682314,68682314,-1.13,82.91,261.64,1509199443
coindash,CoinDash,CDT,,149,0.0338414,0.00000589,214877,18782501,555015474,1000000000,3.04,2.17,-5.74,1509199461
rubycoin,Rubycoin,RBY,,150,0.752742,0.0001311,688896,18757264,24918582,24918582,1.04,-7.38,-4.89,1509199443
diamond,Diamond,DMD,,151,7.4921,0.00130487,32925.7,18636354,2487467,2487467,0.79,1.19,3.86,1509199441
bitdice,BitDice,CSNO,,152,0.264603,0.00004608,104684,18522210,70000000,100000000,0.9,12.45,64.19,1509199465
adtoken,adToken,ADT,,153,0.0304109,0.0000053,173308,18246540,600000000,1000000000,4.95,12.7,7.12,1509199460
sibcoin,SIBCoin,SIB,,154,1.12905,0.00019664,53090.4,17727886,15701595,15701595,0.72,0.32,-5.92,1509199447
target-coin,Target Coin,TGT,,155,0.0185336,0.00000323,1312.27,17651955,952429892,2000100000,-0.38,5.23,-14.8,1509199464
blackmoon-crypto,Blackmoon Crypto,BMC,,156,0.581595,0.00010129,551221,17476494,30049251,60000000,0.53,2.89,-26.5,1509199464
rialto,Rialto,XRL,,157,0.204508,0.00003562,88814.2,17383180,85000000,100000000,7.23,3.35,2.52,1509199463
skycoin,Skycoin,SKY,,158,2.92422,0.0005093,6136.68,17349976,5933198,100000000,-2.16,-5.91,-8.58,1509199456
potcoin,PotCoin,POT,,159,0.0790027,0.00001376,339307,17255604,218417906,218417906,1.33,-8.08,16.55,1509199442
the-champcoin,The ChampCoin,TCC,,160,0.103177,0.00001797,132064,17016542,164925727,218000000,0.12,-3.89,-5.81,1509199462
safe-exchange-coin,Safe Exchange Coin,SAFEX,,161,0.00792394,0.00000138,1160850,17016532,2147483647,2147483647,-1.69,-16.61,-20.22,1509199459
cindicator,Cindicator,CND,,162,0.0114246,0.00000199,119487,16519704,1445976590,2000000005,-3.4,-5.54,-23.78,1509199464
nexium,Nexium,NXC,,163,0.248298,0.00004325,2391180,16517177,66521586,66521586,-0.71,7.72,54.66,1509199453
